Departure Date,Sum_of_Revenue
2018-07-03,1110.0
2018-07-03,1110.0
2018-07-03,1110.0
2018-06-28,1013.02
2018-06-28,1013.02
2018-07-04,1110.0
2018-07-04,1110.0
2018-07-04,1110.0
2018-07-05,1110.0
2018-07-05,1110.0
2018-07-05,1110.0
2018-07-05,1110.0
2018-07-05,1110.0
2018-07-05,1110.0
2018-07-06,1110.0
2018-07-06,1110.0
2018-07-06,1110.0
2018-07-06,1110.0
2018-07-06,1110.0
2018-07-06,1110.0
2018-06-29,145.51
2018-06-29,145.51
2018-07-08,8109.899999999998
2018-07-08,8109.899999999998
2018-07-11,4319.18
2018-07-11,4319.18
2018-06-28,603.48
2018-06-28,603.48
2018-07-11,1949.84
2018-07-11,1949.84
2018-07-16,1385.9
2018-07-16,1385.9
2018-06-28,519.95
2018-06-28,519.95
2018-06-28,690.0
2018-06-29,889.5
2018-06-29,889.5
2018-06-29,889.5
2018-06-28,95.08
2018-06-28,95.08
2018-06-28,1328.78
2018-06-28,1328.78
2018-07-09,420.0
2018-07-09,420.0
2018-06-29,280.37
2018-06-29,280.37
2018-06-28,360.11
2018-06-28,360.11
2018-07-03,385.0
2018-06-29,675.0
2018-06-29,675.0
2018-06-28,370.94
2018-06-28,370.94
2018-06-29,389.5
2018-06-29,389.5
2018-06-29,389.5
2018-06-28,556.05
2018-06-28,556.05
2018-06-28,623.11
2018-06-28,623.11
2018-06-28,492.24
2018-06-28,492.24
2018-07-03,397.5
2018-07-03,397.5
2018-07-02,289.0
2018-07-02,289.0
2018-07-02,355.0
2018-07-02,355.0
2018-06-29,310.0
2018-06-29,310.0
2018-07-03,261.0
2018-07-03,261.0
2018-07-02,268.0
2018-07-02,268.0
2018-07-02,1700.0
2018-07-04,360.0
2018-07-04,360.0
2018-08-17,1875.47
2018-08-17,1875.47
2018-08-17,1875.47
2018-07-02,1750.0
2018-07-02,1750.0
2018-07-02,1250.0
2018-07-02,1250.0
2018-07-03,1430.0
2018-07-03,1430.0
2018-07-03,1430.0
2018-07-02,1250.0
2018-07-02,1250.0
2018-07-04,3737.58
2018-07-04,3737.58
2018-07-02,1700.0
2018-07-03,1750.0
2018-07-03,1750.0
2018-07-03,1750.0
2018-07-03,1250.0
2018-06-28,394.5
2018-06-28,394.5
2018-07-03,1250.0
2018-07-04,1250.0
2018-07-03,1250.0
2018-07-03,1700.0
2018-06-25,1027.74
2018-06-25,1027.74
2018-07-03,535.0
2018-07-03,535.0
2018-07-05,535.0
2018-07-05,535.0
2018-07-19,2360.69
2018-07-19,2360.69
2018-07-08,8207.310000000003
2018-07-08,8207.310000000003
2018-08-15,1839.64
2018-08-15,1839.64
2018-07-03,1710.5
2018-07-03,1710.5
2018-07-03,1710.5
2018-06-29,287.56
2018-06-29,287.56
2018-06-29,1576.4
2018-06-29,1576.4
2018-07-03,1021.81
2018-07-03,1021.81
2018-06-29,185.36
2018-06-29,185.36
2018-07-03,712.14
2018-06-29,95.08
2018-06-29,95.08
2018-07-08,1978.22
2018-07-08,1978.22
2018-07-12,2364.07
2018-07-12,2364.07
2018-09-02,11913.29
2018-09-02,11913.29
2018-07-08,1565.15
2018-07-08,1565.15
2018-07-11,2657.350000000001
2018-07-11,2657.350000000001
2018-07-22,3118.69
2018-07-22,3118.69
2018-07-29,7445.48
2018-07-29,7445.48
2018-06-29,401.0
2018-06-29,401.0
2018-06-29,401.0
2018-07-03,2526.51
